product_id,irisu,id_box,,
071413-0660,5000,0,0,f606ea4c-3274-4db6-9c95-52304761b41d,
071413-0670,5000,0,0,f606ea4c-3274-4db6-9c95-52304761b41d,
101,1000,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
113884,300,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
113885-01,300,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
3052-07548-01-,300,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
3053-07550-00,800,2,0,f606ea4c-3274-4db6-9c95-52304761b41d,
3053-07552-00,1000,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
353-07553-00,800,2,0,f606ea4c-3274-4db6-9c95-52304761b41d,
381332,120,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
381333,50,1,0,f606ea4c-3274-4db6-9c95-52304761b41d,
381334,50,1,0,f606ea4c-3274-4db6-9c95-52304761b41d,
381335,120,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
5J042-52352,400,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
6-7-M4,1000,0,0,f606ea4c-3274-4db6-9c95-52304761b41d,
A106,1000,0,0,f606ea4c-3274-4db6-9c95-52304761b41d,
AWW003P3EK00,300,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
AWW003P3EK01,300,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
AWW003PA0X00,400,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
AWW0110A01H0,456,1,0,f606ea4c-3274-4db6-9c95-52304761b41d,
AWW0110A01T0,456,1,0,f606ea4c-3274-4db6-9c95-52304761b41d,
AWW0110A01W0,456,1,0,f606ea4c-3274-4db6-9c95-52304761b41d,
AWW0110A0CH0,456,1,0,f606ea4c-3274-4db6-9c95-52304761b41d,
AWW0195A1Z00,1200,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
AWW031NA0CH0,1000,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
AWW031NA0CW0,1000,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
AWW03393EK00,300,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
AWW03393EK01,300,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
AWW0339A0X00,400,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
AWW0970A0CH0,1000,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
AWW0970A0CW0,1000,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
AWW1096A1ZJ0,144,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
AWW1096A1ZS0,144,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
AWW1096A1ZT0,144,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
AWW1096A1ZW0,144,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
AWW1097A1ZJ0,176,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
AWW1097A1ZS0,176,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
AWW1097A1ZT0,176,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
AWW1097A1ZW0,176,0,0,f606ea4c-3274-4db6-9c95-52304761b41d,
AWW1238A1900,120,0,0,f606ea4c-3274-4db6-9c95-52304761b41d,
AWW2103A1Z00,3000,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
AWW2111A0CH0,1000,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
AWW2111A0CW0,1000,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
AWW2131A0C00,400,2,0,f606ea4c-3274-4db6-9c95-52304761b41d,
B-50,500,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
BB00837-Z00-2,1000,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
BON-CO-20002,220,2,0,f606ea4c-3274-4db6-9c95-52304761b41d,
BON-CS-20004,48,3,0,f606ea4c-3274-4db6-9c95-52304761b41d,
