ﾃﾞｰﾀ処理NO,情報区分ｺｰﾄﾞ,ﾃﾞｰﾀ作成日,発注者ｺｰﾄﾞ,受注者ｺｰﾄﾞ,発注部門ｺｰﾄﾞ,注文番号,製造番号,訂正ｺｰﾄﾞ,ｺｯｸ区分,注文年月日,単位,単価,単価区分,注文数量,注文金額,支給区分,購買担当,材質規格寸法,仕様書有無,版数,品名,受注者品名ｺｰﾄﾞ,発注者品名ｺｰﾄﾞ,図面仕様書枚数,荷姿,直納区分,受渡場所,検査区分,納入指示有無区分,納期,納入指示数量,納入NO,自由使用欄,備考,消費税区分,課税区分,消費税額,合計額,決済条件区分,ｴﾝﾄﾞﾕｰｻﾞｰ名,納入先郵便番号,納入先住所,納入先宛先名,ｴﾝﾄﾞﾕｰｻﾞｰ品名,ｴﾝﾄﾞﾕｰｻﾞｰ品名CD,ｴﾝﾄﾞﾕｰｻﾞｰ注番,指定ﾒｰｶｰ名,納品ｷｰ番号,受渡場所名,発注者用ﾊﾞｰｺｰﾄﾞ,発注者用備考,契約条件区分,発注形態区分,親注文番号,数量契約区分,変更注文区分[1],変更注文区分[2],変更注文区分[3],機種ｺｰﾄﾞ,設計変更番号,図面仕様書番号,要求書種類[1],要求書種類[2],要求書種類[3],要求書種類[4],要求書部数[1],要求書部数[2],要求書部数[3],要求書部数[4],要求書言語[1],要求書言語[2],要求書言語[3],要求書言語[4],戦略物資区分,原産地ｺｰﾄﾞ[1],原産地ｺｰﾄﾞ[2],原産地ｺｰﾄﾞ[3],原産地ｺｰﾄﾞ[4],原産地ｺｰﾄﾞ[5],納入時刻,一括納入番号,発注品仕様,発注部門名,条長[1],条長[2],条長[3],条長[4],条長[5],条長[6],条長[7],条長[8],条長[9],条長[10],条長個数[1],条長個数[2],条長個数[3],条長個数[4],条長個数[5],条長個数[6],条長個数[7],条長個数[8],条長個数[9],条長個数[10],条長単位,工事件名,主材料ｺｰﾄﾞ,主材料ﾍﾞｰｽ,主材料単位,試験成績書要否,試験成績書検査,試験成績書提出,市町村ｺｰﾄﾞ,納入時連絡先,納品書価格表示,購買担当K,材質規格寸法K,品名K,備考K,ｴﾝﾄﾞﾕｰｻﾞｰ名K,納入先住所K,納入先宛先名K,ｴﾝﾄﾞﾕｰｻﾞｰ品名K,指定ﾒｰｶｰ名K,受渡場所名K,発注者用備考K,機種名K,発注品使用K,発注部門名K,工事件名K
1,502,2019/11/29,10801021529,103463,JAFA,4600038169,,1,1,2019/11/29,PC,184.81,1,224,41398,2,DZ7,,,,ﾀﾝｸｳｹｽﾃｰAU(L),,P011A-13R00,0,,1,D500,2--,,2019/11/29,224,38169,,,2,1,0,0,3,,,,,,,,,4600038169,JAFA/J/D500,JAFA/J/D500,JｸｻﾂBI/D500ﾌﾞﾂﾘｭｳ/,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,3,,,,,,,,,,,,,,,
1,502,2019/11/30,10801021529,103463,JAFA,4500271271,,1,1,2019/11/30,PC,23.83,1,200,4766,1,DZ7,,,,ｶｺﾞﾊﾝｶﾞ,,P0166-93130,0,,1,D500,4--,,2019/12/10,200,271271,,,2,1,0,0,3,,,,,,,,,4500271271,JAFA/J/D500,JAFA/J/D500,JｸｻﾂBI/D500ﾌﾞﾂﾘｭｳ/,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,3,,,,,,,,,,,,,,,
2,502,2019/11/30,10801021529,103463,JAFA,4500271272,,1,1,2019/11/30,PC,23.83,1,200,4766,1,DZ7,,,,ｶｺﾞﾊﾝｶﾞ,,P0166-93130,0,,1,D500,4--,,2019/12/11,200,271272,,,2,1,0,0,3,,,,,,,,,4500271272,JAFA/J/D500,JAFA/J/D500,JｸｻﾂBI/D500ﾌﾞﾂﾘｭｳ/,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,3,,,,,,,,,,,,,,,
3,502,2019/11/30,10801021529,103463,JAFA,4500271273,,1,1,2019/11/30,PC,23.83,1,400,9532,1,DZ7,,,,ｶｺﾞﾊﾝｶﾞ,,P0166-93130,0,,1,D500,4--,,2019/12/12,400,271273,,,2,1,0,0,3,,,,,,,,,4500271273,JAFA/J/D500,JAFA/J/D500,JｸｻﾂBI/D500ﾌﾞﾂﾘｭｳ/,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,3,,,,,,,,,,,,,,,
4,502,2019/11/30,10801021529,103463,JAFA,4500271274,,1,1,2019/11/30,PC,23.83,1,300,7149,1,DZ7,,,,ｶｺﾞﾊﾝｶﾞ,,P0166-93130,0,,1,D500,4--,,2019/12/16,300,271274,,,2,1,0,0,3,,,,,,,,,4500271274,JAFA/J/D500,JAFA/J/D500,JｸｻﾂBI/D500ﾌﾞﾂﾘｭｳ/,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,3,,,,,,,,,,,,,,,
5,502,2019/11/30,10801021529,103463,JAFA,4500271275,,1,1,2019/11/30,PC,2.93,1,500,1465,1,DZ7,,,,ﾎｰｽﾊﾝｶﾞ,,P0170-96500,0,,1,D500,4--,,2019/12/10,500,271275,,,2,1,0,0,3,,,,,,,,,4500271275,JAFA/J/D500,JAFA/J/D500,JｸｻﾂBI/D500ﾌﾞﾂﾘｭｳ/,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,3,,,,,,,,,,,,,,,
6,502,2019/11/30,10801021529,103463,JAFA,4500271276,,1,1,2019/11/30,PC,2.93,1,500,1465,1,DZ7,,,,ﾎｰｽﾊﾝｶﾞ,,P0170-96500,0,,1,D500,4--,,2019/12/17,500,271276,,,2,1,0,0,3,,,,,,,,,4500271276,JAFA/J/D500,JAFA/J/D500,JｸｻﾂBI/D500ﾌﾞﾂﾘｭｳ/,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,3,,,,,,,,,,,,,,,
7,502,2019/11/30,10801021529,103463,JAFA,4500271277,,1,1,2019/11/30,PC,17.58,1,100,1758,1,DZ7,,,,ﾎﾞﾃﾞｰﾊﾞﾝﾄﾞA,,P0171-06F00,0,,1,D500,4--,,2019/12/16,100,271277,,,2,1,0,0,3,,,,,,,,,4500271277,JAFA/J/D500,JAFA/J/D500,JｸｻﾂBI/D500ﾌﾞﾂﾘｭｳ/,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,3,,,,,,,,,,,,,,,
8,502,2019/11/30,10801021529,103463,JAFA,4500271278,,1,1,2019/11/30,PC,13.14,1,1800,23652,1,DZ7,,,,ﾌﾀﾁｮｳﾊﾞﾝ(L),,P0192-63040,0,,1,D500,4--,,2019/12/10,1800,271278,,,2,1,0,0,3,,,,,,,,,4500271278,JAFA/J/D500,JAFA/J/D500,JｸｻﾂBI/D500ﾌﾞﾂﾘｭｳ/,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,3,,,,,,,,,,,,,,,
9,502,2019/11/30,10801021529,103463,JAFA,4500271279,,1,1,2019/11/30,PC,13.14,1,3200,42048,1,DZ7,,,,ﾌﾀﾁｮｳﾊﾞﾝ(L),,P0192-63040,0,,1,D500,4--,,2019/12/11,3200,271279,,,2,1,0,0,3,,,,,,,,,4500271279,JAFA/J/D500,JAFA/J/D500,JｸｻﾂBI/D500ﾌﾞﾂﾘｭｳ/,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,3,,,,,,,,,,,,,,,
