ﾃﾞｰﾀ処理NO,情報区分ｺｰﾄﾞ,ﾃﾞｰﾀ作成日,発注者ｺｰﾄﾞ,受注者ｺｰﾄﾞ,発注部門ｺｰﾄﾞ,製造番号,訂正ｺｰﾄﾞ,ｺｯｸ区分,単位,支給区分,購買担当,材質規格寸法,仕様書有無,版数,品名,受注者品名ｺｰﾄﾞ,発注者品名ｺｰﾄﾞ,荷姿,納期,所要計画数量,備考,計画番号,計画年月日,標準納入日数,ｴﾝﾄﾞﾕｰｻﾞｰ名,指定ﾒｰｶｰ名,所要期間,契約条件区分,機種ｺｰﾄﾞ,戦略物資区分,発注品仕様,発注部門名,購買担当K,材質規格寸法K,品名K,備考K,ｴﾝﾄﾞﾕｰｻﾞｰ名K,指定ﾒｰｶｰ名K,機種名K,発注品仕様K,発注部門名K
1,201,2019/12/4,10801021332,103463,JAF9,,1,1,PC,,CZS,,,,ｷﾊﾞﾝﾌﾀ.VSX189,,RF46-K59,,2020/1/6,840,,A0165348991,2019/12/4,0,,,0,,,,,,,,,,,,,,
2,201,2019/12/4,10801021332,103463,JAF9,,1,1,PC,,CZS,,,,ｽﾘｰﾌﾞ VSX188,,RC41-J67,,2019/12/24,1200,,A0165435866,2019/12/4,0,,,0,,,,,,,,,,,,,,
3,201,2019/12/4,10801021332,103463,JAF9,,1,1,PC,,CZS,,,,ｾﾝｻｰﾌﾀ VSX188,,RS72-J67,,2019/12/25,2000,,A0165436816,2019/12/4,0,,,0,,,,,,,,,,,,,,
4,201,2019/12/4,10801021332,103463,JAF9,,1,1,PC,,CZS,,,,ｼﾞｮｳｷｺｳｷｬｯﾌﾟ VSX188,,RD08-J67,,2019/12/24,2000,,A0165437250,2019/12/4,0,,,0,,,,,,,,,,,,,,
5,201,2019/12/4,10801021332,103463,JAF9,,1,1,PC,,CZS,,,,ｷﾊﾞﾝﾌﾀ.VSX189,,RF46-K59,,2020/1/8,560,,B0165348992,2019/12/4,0,,,0,,,,,,,,,,,,,,
6,201,2019/12/4,10801021332,103463,JAF9,,1,1,PC,,CZS,,,,ｷﾊﾞﾝﾌﾀ.VSX189,,RF46-K59,,2020/1/9,840,,B0165348993,2019/12/4,0,,,0,,,,,,,,,,,,,,
7,201,2019/12/4,10801021332,103463,JAF9,,1,1,PC,,CZS,,,,ｷﾊﾞﾝﾌﾀ.VSX189,,RF46-K59,,2020/1/10,280,,B0165348994,2019/12/4,0,,,0,,,,,,,,,,,,,,
8,201,2019/12/4,10801021332,103463,JAF9,,1,1,PC,,CZS,,,,ｾﾝｻｰｹｰｽ VSX188,,RS94-J67,,2019/12/25,2000,,B0165437032,2019/12/4,0,,,0,,,,,,,,,,,,,,
9,201,2019/12/4,10801021332,103463,JAF9,,1,1,PC,,CZS,,,,ｷﾊﾞﾝﾌﾀ.VSX189,,RF46-K59,,2020/1/14,560,,C0165348995,2019/12/4,0,,,0,,,,,,,,,,,,,,
10,201,2019/12/4,10801021332,103463,JAF9,,1,1,PC,,CZS,,,,ｷﾊﾞﾝﾌﾀ.VSX189,,RF46-K59,,2020/1/15,840,,C0165348996,2019/12/4,0,,,0,,,,,,,,,,,,,,
11,201,2019/12/4,10801021332,103463,JAF9,,1,1,PC,,CZS,,,,ｷﾊﾞﾝﾌﾀ.VSX189,,RF46-K59,,2020/1/16,840,,C0165348997,2019/12/4,0,,,0,,,,,,,,,,,,,,
12,201,2019/12/4,10801021332,103463,JAF9,,1,1,PC,,CZS,,,,ｷﾊﾞﾝﾌﾀ.VSX189,,RF46-K59,,2020/1/17,840,,C0165348998,2019/12/4,0,,,0,,,,,,,,,,,,,,
13,201,2019/12/4,10801021332,103463,JAF9,,1,1,PC,,CZS,,,,ｷﾊﾞﾝﾌﾀ.VSX189,,RF46-K59,,2020/1/20,560,,C0165348999,2019/12/4,0,,,0,,,,,,,,,,,,,,
