　,外注業者名,受注番号,品名,内容,種別,工程内容,仕様書番号,仕様書名,発注日,発注数,発注単価,発注金額,納期,　,納入場所名,伝票№,担当者,登録日
800004,株式会社栄ライト工業所,97-292032,#1 QW410(4.5x6)ｱﾄｶｺｳ,060,KAK C,ﾎﾞﾋﾞﾝ               ,BON-DFL-20008,DFL-ARﾎﾞﾋﾞﾝSP,2019/12/03,304,16.00,4864,2019/12/06,199969,弊社岡山第１工場,16173,永瀬　智徳,03-Dec-19
800004,株式会社栄ライト工業所,97-292018,#1 QW410(4x6)ｱﾄｶｺｳ,060,KAK C,ﾎﾞﾋﾞﾝ               ,BON-DFL-20008,DFL-ARﾎﾞﾋﾞﾝSP,2019/12/03,306,16.00,4896,2019/12/06,199969,弊社岡山第１工場,17173,永瀬　智徳,03-Dec-19
800004,株式会社栄ライト工業所,97-292032,#1 QW410(4.5x6)ｱﾄｶｺｳ,070,KAK C,ﾎﾞﾋﾞﾝ               ,BON-DFL-20009,DFL-ARﾎﾞﾋﾞﾝTU,2019/12/03,304,16.00,4864,2019/12/06,199969,弊社岡山第１工場,18173,永瀬　智徳,03-Dec-19
800004,株式会社栄ライト工業所,97-292018,#1 QW410(4x6)ｱﾄｶｺｳ,070,KAK C,ﾎﾞﾋﾞﾝ               ,BON-DFL-20009,DFL-ARﾎﾞﾋﾞﾝTU,2019/12/03,306,16.00,4896,2019/12/06,199969,弊社岡山第１工場,19173,永瀬　智徳,03-Dec-19
800004,株式会社栄ライト工業所,29-110969,#18 DNP-D646-35ｶｲ2,060,KAK C,ﾎﾞﾋﾞﾝ               ,BON-MD-20023,MD-SPA-ﾎﾞﾋﾞﾝｶｲ1,2019/12/03,840,20.00,16800,2020/01/06,199969,弊社岡山第１工場,10183,永瀬　智徳,03-Dec-19
800004,株式会社栄ライト工業所,29-111060,#19 CK-D758(H)ｶｲ5,060,KAK C,ﾎﾞﾋﾞﾝ               ,BON-MD-20023,MD-SPA-ﾎﾞﾋﾞﾝｶｲ1,2019/12/03,39468,20.00,789360,2020/01/06,199969,弊社岡山第１工場,11183,永瀬　智徳,03-Dec-19
800004,株式会社栄ライト工業所,29-111063,#2 CK-D768COMMON-35G,060,KAK C,ﾎﾞﾋﾞﾝ               ,BON-MD-20023,MD-SPA-ﾎﾞﾋﾞﾝｶｲ1,2019/12/03,43680,20.00,873600,2020/01/10,199969,弊社岡山第１工場,12183,永瀬　智徳,03-Dec-19
800004,株式会社栄ライト工業所,29-111066,#3 CK-D768COMMON-35G,060,KAK C,ﾎﾞﾋﾞﾝ               ,BON-MD-20023,MD-SPA-ﾎﾞﾋﾞﾝｶｲ1,2019/12/03,42000,20.00,840000,2020/01/24,199969,弊社岡山第１工場,13183,永瀬　智徳,03-Dec-19
800004,株式会社栄ライト工業所,29-111067,#2 CK-D868COMMON-35G,060,KAK C,ﾎﾞﾋﾞﾝ               ,BON-MD-20023,MD-SPA-ﾎﾞﾋﾞﾝｶｲ1,2019/12/03,67200,20.00,1344000,2020/01/17,199969,弊社岡山第１工場,14183,永瀬　智徳,03-Dec-19
800004,株式会社栄ライト工業所,29-111071,#1 CR-D70ｶｲ3,060,KAK C,ﾎﾞﾋﾞﾝ               ,BON-MD-20023,MD-SPA-ﾎﾞﾋﾞﾝｶｲ1,2019/12/03,220,20.00,4400,2020/01/27,199969,弊社岡山第１工場,15183,永瀬　智徳,03-Dec-19
800004,株式会社栄ライト工業所,29-111137,#15 CK-D746(K)-35EUｶｲ1,060,KAK C,ﾎﾞﾋﾞﾝ               ,BON-MD-20023,MD-SPA-ﾎﾞﾋﾞﾝｶｲ1,2019/12/03,14112,20.00,282240,2020/01/29,199969,弊社岡山第１工場,16183,永瀬　智徳,03-Dec-19
800004,株式会社栄ライト工業所,29-522318,#4 DS820-812(LX-M)1RL-PIE,220,KAK G,ｷﾞｱ･ﾌﾗﾝｼﾞ           ,MLD-EX-20001,樹脂ｷｬｯﾌﾟS-35,2019/12/03,1470,12.50,18375,2019/12/20,199969,弊社岡山第１工場,17183,永瀬　智徳,03-Dec-19
