,測定時刻,ロット番号,シリアルカウンタ,判定,担当者,測定回数,A,真円度A,
設計値,,,,,,,18.000,0.000,
上限規格値,,,,,,,0.400,0.000,
下限規格値,,,,,,,-0.400,0.000,
,2019/09/25 10:35:57,IN.190925-54,0001,---,doi,1,17.982,0.019,
,2019/09/25 10:35:57,IN.190925-54,0002,---,doi,1,17.983,0.019,
,2019/09/25 10:35:57,IN.190925-54,0003,---,doi,1,17.974,0.019,
,2019/09/25 10:35:57,IN.190925-54,0004,---,doi,1,17.976,0.018,
,2019/09/25 10:35:57,IN.190925-54,0005,---,doi,1,17.974,0.038,
,2019/09/25 10:35:57,IN.190925-54,0006,---,doi,1,17.977,0.026,
,2019/09/25 10:35:57,IN.190925-54,0007,---,doi,1,17.979,0.024,
,2019/09/25 10:35:57,IN.190925-54,0008,---,doi,1,17.979,0.016,
