cs_id,cs_name,yuubin,jyusho,tel,fax,shimebi,exclusion
10001,パナソニック(株)HA社キッチンアプライアンス（事）草津工場,525-8555,滋賀県草津市野路東2丁目3番1-2号,,,31,0
10002,パナソニック(株)HA社ランドリークリーナー（事）静岡工場,437-0043,静岡県袋井市新池1131番地,0538-43-2821,0538-43-6641,31,0
10003,パナソニック(株)HA社キッチンアプライアンス（事）加東工場,673-1447,兵庫県加東市佐保5番地,0795-42-7070,0795-42-7069,31,0
10004,パナソニック（株）グローバル調達社,,,,,31,0
20001,(株)ＤＮＰイメージングコム岡山第1工場,709-2121,岡山県岡山市御津宇垣642-8,0867-24-3811,0867-24-0329,25,0
20002,(株)ＤＮＰイメージングコム岡山第2工場,709-2121,岡山県岡山市御津宇垣564,0867-24-4621,0867-24-4764,25,1
20003,(株)ＤＮＰイメージングコム狭山工場,,,,,25,1
20004,(株)ＤＮＰイメージングコム小田原工場,,,,,25,1
30001,ケーブル工業(株),579-8014,大阪府東大阪市中石切町5-1-47,0729-84-5583,,31,0
30002,(株)野口製作所-東大阪営業所,577-0824,大阪府東大阪市大蓮東3丁目15番4号,06-6728-3923,,31,1
30003,オリエクス(株)雷電工場,,,,,31,0
30004,(株)徳井金型製作所,,,,,20,0
30005,(株)クボタ竜ヶ崎工場,,,,,31,0
30006,大同化成工業株式会社,555-0011,大阪市西淀川区竹島４丁目４番２８号,06-6474-7890,06-6474-9911,31,1
30007,(株)アトライズヨドガワ滋賀事業所,,,,,31,0
30008,(株)アトライズヨドガワ大阪支店,,,,,31,0
30009,(株)十川ゴム大阪支社,,,,,31,0
30010,大日紙工(株),,,,,31,0
30011,竹中電子工業(株),,,,,31,0
30012,大日化工(株),,,,,31,0
30013,田中工機(株),,,,,31,0
30014,新興プラスチック(株),,,,,31,1
30015,パナソニックコンシューマーマーケティング(株),,,,,31,0
30016,Yamanaka,,,,,20,0
30017,千代田興業(株),,,,,31,1
30018,(株)ベッセル福知山,,,,,31,0
30019,(株)ケツト科学研究所,,,,,31,0
30020,ヘキヨー（株）,,,,,31,0
30021,昭和電気（株）,,,,,31,0
30022,（株）六幸産業,,,,,20,0
30023,三枝化工（株）,,,,,20,0
30024,（株）愛和,,,,,20,0
30025,三和化成工業（株）,,,,,20,0
30026,（株）東穂,,,,,20,0
30027,（株）明成商会,,,,,31,0
30028,ピー・アイ・ピー（株）,,,,,31,0
30029,（株）大二,,,,,31,0
30030,（有）バンプラス,,,,,31,0
99999,栄ライト工業所,,,,,0,1
