,測定時刻,ロット番号,シリアルカウンタ,判定,担当者,測定回数,B,E,C,
設計値,,,,,,,37.500,19.000,22.000,
上限規格値,,,,,,,0.400,0.000,0.050,
下限規格値,,,,,,,-0.400,-0.150,-0.050,
,2019/09/25 10:34:55,IN.190925-54,0001,OK,doi,1,37.501,18.885,21.979,
,2019/09/25 10:34:55,IN.190925-54,0002,OK,doi,1,37.501,18.889,21.977,
,2019/09/25 10:34:55,IN.190925-54,0003,OK,doi,1,37.528,18.891,21.977,
,2019/09/25 10:34:55,IN.190925-54,0004,OK,doi,1,37.527,18.885,21.979,
,2019/09/25 10:34:55,IN.190925-54,0005,OK,doi,1,37.509,18.876,21.985,
,2019/09/25 10:34:55,IN.190925-54,0006,OK,doi,1,37.504,18.886,21.983,
,2019/09/25 10:34:55,IN.190925-54,0007,OK,doi,1,37.469,18.895,21.986,
,2019/09/25 10:34:55,IN.190925-54,0008,OK,doi,1,37.498,18.876,21.977,
