1,2,3,4,5,6,7,8,9,10,11
2020/1/8,29-111521,MLD-MD-20035,70,2,2020/2/24,17286,1,1,2020/1/9 16:57,2020/1/22 19:20
2020/1/8,29-111521,MLD-MD-20036,80,2,2020/2/24,8643,1,1,2020/1/9 16:59,2020/1/22 19:20
2020/1/8,29-111521,BON-MD-20023,60,2,2020/2/24,18060,1,1,2020/1/9 16:47,2020/1/22 19:19
2020/6/4,97-297544,MLD-EX-20002,210,0,2020/6/29,136,1,0,2020/6/5 10:12,
2019/12/3,29-111063,BON-MD-20023,60,3,2020/1/29,10080,0,0,2020/1/9 15:54,2020/1/21 15:20
2019/12/3,29-111063,BON-MD-20023,60,4,2020/1/31,12000,1,0,2020/1/9 15:54,2020/1/21 15:20
2019/12/3,29-111066,BON-MD-20023,60,3,2020/2/5,7200,0,0,2020/1/21 15:22,2020/1/24 11:41
2019/12/3,29-111066,BON-MD-20023,60,4,2020/2/5,7200,0,0,2020/1/21 15:22,2020/2/4 13:02
2019/12/3,29-111066,BON-MD-20023,60,5,2020/2/10,7200,0,0,2020/1/24 11:41,2020/2/4 13:02
2019/12/3,29-111066,MLD-MD-20035,70,3,2020/1/29,4800,1,0,2020/1/24 11:40,
2019/12/3,29-111137,BON-MD-20023,60,2,2020/1/31,10872,1,0,2020/1/28 10:54,2020/1/28 13:02
2020/1/6,29-522430,BON-EX-20018,45,0,2020/1/7,150,1,0,2020/1/9 18:20,
2020/1/8,29-111060,MLD-EX-20002,250,1,2020/1/24,11960,0,0,2020/1/8 19:12,2020/1/9 16:54
2020/1/8,29-111060,MLD-EX-20002,250,2,2020/1/27,11960,0,0,2020/1/9 16:54,
2020/1/8,29-111060,MLD-EX-20002,250,3,2020/1/29,11960,1,0,2020/1/9 16:54,
2020/1/8,29-111244,MLD-EX-20002,220,0,2020/1/24,12288,1,0,2020/1/8 19:12,
2020/1/8,29-111251,MLD-EX-20002,220,0,2020/2/3,3200,1,0,2020/1/8 19:12,
2020/1/8,29-111252,MLD-EX-20002,220,0,2020/1/24,7680,1,0,2020/1/8 19:12,
2020/1/8,29-111281,MLD-EX-20002,220,0,2020/1/22,8192,1,0,2020/1/8 19:12,
2020/1/8,29-111284,MLD-EX-20002,220,0,2020/2/5,512,1,0,2020/1/8 19:12,
2020/1/8,29-111285,MLD-EX-20002,220,0,2020/2/5,1536,1,0,2020/1/8 19:12,
2020/1/8,29-111288,MLD-EX-20002,220,0,2020/2/5,1536,1,0,2020/1/8 19:12,
2020/1/8,29-111292,MLD-EX-20002,220,0,2020/2/5,1024,1,0,2020/1/8 19:12,
2020/1/8,29-111303,MLD-EX-20002,270,0,2020/2/5,2560,1,0,2020/1/8 19:12,
2020/1/8,29-111384,MLD-EX-20002,220,0,2020/2/5,1024,1,0,2020/1/8 19:12,
2020/1/8,29-111395,MLD-EX-20002,220,0,2020/2/5,512,1,0,2020/1/8 19:12,
2020/1/8,29-111451,BON-MD-20023,60,0,2020/1/31,106,1,0,2020/1/8 19:12,
2020/1/8,29-111451,MLD-MD-20035,70,0,2020/1/31,101,1,0,2020/1/8 19:12,
2020/1/8,29-111451,MLD-MD-20036,80,0,2020/1/31,49,1,0,2020/1/8 19:12,
