datetime,seikeiki,product_id,present_kensahyou,product_name,tantou,,
2018-1-4 08:00,1,MLD-EX-20002,0,PPキャップΦ56,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-4 08:00,2,P0192-63040,0,フタチョウバンL,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-4 08:00,3,P0166-93010,0,カゴハンガー,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-4 08:00,4,P1728-02E10,0,スライドイタA,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-4 08:00,5,CAS-NDS-20002,0,NDS-カセットCASE-2,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-4 08:00,6,P2131-93010,0,ラッチA,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-4 08:00,7,P2133-93020,0,ラッチイタ,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-4 08:00,8,P1295-82200,0,ホースホルダーB,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-4 08:00,9,W002,0,ターミナル,10800個,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-4 09:00,1,MLD-MD-20036,0,MD-SPA-FフランジT-R カイ1,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-4 10:00,5,P2918-39020,0,キュウスイベンイタ,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-4 13:00,2,P1127-93000,0,タンクウケステーBL,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-4 14:00,6,P0624-45900,0,スイッチプレートB,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-4 15:00,8,MLD-NDS-20001,0,NDS-カセットヨウシャフトビン,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-5 08:00,1,MLD-MD-20036,0,MD-SPA-FフランジT-R カイ1,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-5 08:00,2,P1127-93000,0,タンクウケステーBL,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-5 08:00,3,P0166-93010,0,カゴハンガー,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-5 08:00,4,P1728-02E10,0,スライドイタA,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-5 08:00,5,P2918-39020,0,キュウスイベンイタ,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-5 08:00,6,P0624-45900,0,スイッチプレートB,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-5 08:00,7,P2133-93020,0,ラッチイタ,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-5 08:00,8,MLD-NDS-20001,0,NDS-カセットヨウシャフトビン,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-5 08:00,9,W002,0,ターミナル,10800個,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-5 09:00,3,P1189-02E20,0,コモノイレA,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-5 10:30,4,P2166-67360,0,カゴピンB（L）,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-5 13:00,5,P2918-02C20,0,キュウスイベンイタ,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-5 14:00,7,P2922-02C00,0,キュウスイベンカラー,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-5 15:00,8,W1299-80220,0,エアートラップB,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-6 08:00,1,MLD-MD-20036,0,MD-SPA-FフランジT-R カイ1,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-6 08:00,8,W1299-80220,0,エアートラップB,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-6 08:00,9,W002,0,ターミナル,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-6 09:00,9,P002X-05Z10,0,フィルターAU,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-6 11:00,8,RE03-7112HH,0,ウワワクキャップ,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-6 13:00,1,P1192-62900,0,SFスイッチレバー　L,型替えのみ,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-9 08:00,1,P1192-62900,0,SFスイッチレバー　L,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-9 08:00,2,P1127-93000,0,タンクウケステーBL,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-9 08:00,3,P1189-02E20,0,コモノイレA,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-9 08:00,4,P2166-67360,0,カゴピンB（L）,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-9 08:00,5,P2918-02C20,0,キュウスイベンイタ,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-9 08:00,6,P0624-45900,0,スイッチプレートB,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-9 08:00,7,P2922-02C00,0,キュウスイベンカラー,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-9 08:00,9,P002X-05Z10,0,フィルターAU,3300個,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-9 09:00,2,W0110-8RT00L,0,ハンガー（ベージュ）,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-9 09:00,8,RE03-7112HH,0,ウワワクキャップ,5500個,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-9 10:30,6,MLD-MD-20031,0,MD-SPA-FフランジS-R1カイ1,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-9 13:00,7,P0170-67300,0,ホースハンガー,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-9 14:00,4,P2166-02F00,0,カゴピンB,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-9 16:00,1,MLD-CO-20010,0,CO8*10フランジS,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-9 17:00,8,RE03-6302HH,0,ウワワクキャップ,4000個,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-9 23:00,8,RF51-B471HH,0,ウワワクキャップ,9000個,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-10 08:00,1,MLD-CO-20010,0,CO8*10フランジS,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-10 08:00,2,W0110-8RT00L,0,ハンガー（ベージュ）,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-10 08:00,3,P1189-02E20,0,コモノイレA,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-10 08:00,4,P2166-02F00,0,カゴピンB,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-10 08:00,5,P2918-02C20,0,キュウスイベンイタ,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-10 08:00,6,MLD-MD-20031,0,MD-SPA-FフランジS-R1カイ1,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-10 08:00,7,P0170-67300,0,ホースハンガー,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-10 08:00,8,RF51-B471HH,0,ウワワクキャップ,9000個,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-10 08:00,9,P002X-05Z10,0,フィルターAU,3300個,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-10 09:00,2,W0110-8RT00M,0,ハンガー（白）,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-10 09:00,3,BON-MD-20023,0,MD-SPA-ボビン カイ1,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-10 10:30,7,P1127-93100,0,タンクウケステーB(R),,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-10 10:30,8,RF52-A451HH,0,ウワワクキャップ,3000個,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-10 11:00,5,P0120-82200,0,ホースホルダーA,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-10 13:00,4,P2125-10M00,0,カゴB,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-10 14:00,1,P1126-93010,0,タンクウケステーA,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-10 17:00,8,RF51-7962HH,0,ウワワクキャップ,8000個,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-11 08:00,1,P1126-93010,0,タンクウケステーA,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-11 08:00,2,W0110-8RT00M,0,ハンガー（白）,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-11 08:00,3,BON-MD-20023,0,MD-SPA-ボビン カイ1,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-11 08:00,4,P2125-10M00,0,カゴB,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-11 08:00,5,P0120-82200,0,ホースホルダーA,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-11 08:00,6,MLD-MD-20031,0,MD-SPA-FフランジS-R1カイ1,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-11 08:00,7,P1127-93100,0,タンクウケステーB(R),,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-11 08:00,8,RF51-7962HH,0,ウワワクキャップ,8000個,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-11 08:00,9,P002X-05Z10,0,フィルターAU,3300個,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-11 09:00,4,P2166-67360,0,カゴピンB（L）,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-11 10:30,7,P2297-45910K,0,ダクトＡ,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-11 13:00,8,RF52-7962HH,0,ウワワクキャップ,8000個,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-11 14:00,1,MLD-EX-20002,0,PPキャップΦ56,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-11 15:00,7,P2132-93010,0,ラッチB,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-11 16:00,5,BON-CO-20002,0,CO-A4ボビン,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-12 08:00,1,MLD-EX-20002,0,PPキャップΦ56,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-12 08:00,2,W0110-8RT00M,0,ハンガー（白）,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-12 08:00,3,BON-MD-20023,0,MD-SPA-ボビン カイ1,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-12 08:00,4,P2166-67360,0,カゴピンB（L）,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-12 08:00,5,BON-CO-20002,0,CO-A4ボビン,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-12 08:00,6,MLD-MD-20031,0,MD-SPA-FフランジS-R1カイ1,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-12 08:00,7,P2132-93010,0,ラッチB,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-12 08:00,8,RF52-7962HH,0,ウワワクキャップ,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-12 08:00,9,P002X-05Z10,0,フィルターAU,750個,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-12 09:00,3,P0335-36420,0,チョウセイアシ,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-12 10:30,2,P0192-63040,0,フタチョウバンL,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-12 13:00,9,W002,0,ターミナル,7000個,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-12 14:30,8,P0335-PC450K,0,チョウセイアシ,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-12 16:00,4,P2166-93010,0,カゴピンB,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-12 23:00,6,MLD-MD-20037,0,MD-SPA-FフランジS-R1カイ1（黒）,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-15 08:00,1,MLD-EX-20002,0,PPキャップΦ56,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-15 08:00,2,P0192-63040,0,フタチョウバンL,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-15 08:00,3,P0335-36420,0,チョウセイアシ,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-15 08:00,4,P2166-93010,0,カゴピンB,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-15 08:00,5,BON-CO-20002,0,CO-A4ボビン,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-15 08:00,6,MLD-MD-20037,0,MD-SPA-FフランジS-R1カイ1（黒）,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-15 08:00,7,P2132-93010,0,ラッチB,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-15 08:00,8,P0335-PC450K,0,チョウセイアシ,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-15 08:00,9,W002,0,ターミナル,10800,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-15 09:00,5,P2918-02C20,0,キュウスイベンイタ,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-15 10:30,6,P007C-L71,0,レバー71,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-15 13:00,7,W3440-8RT00,0,サスペンションキャップ,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-15 14:00,3,P1189-31340,0,コモノイレA,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-16 08:00,1,MLD-EX-20002,0,PPキャップΦ56,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-16 08:00,2,P0192-63040,0,フタチョウバンL,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-16 08:00,3,P1189-31340,0,コモノイレA,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-16 08:00,4,P2166-93010,0,カゴピンB,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-16 08:00,5,P2918-02C20,0,キュウスイベンイタ,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-16 08:00,6,P007C-L71,0,レバー71,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-16 08:00,7,W3440-8RT00,0,サスペンションキャップ,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-16 08:00,8,P0335-PC450K,0,チョウセイアシ,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-16 08:00,9,W002,0,ターミナル,10800,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-16 09:00,1,W2131-8RU20,0,ラッチAR,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-16 10:30,4,P2166-67360,0,カゴピンB（L）,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-16 13:00,7,P0170-96500,0,ホースハンガー,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-16 14:00,6,H2364-41200,0,ハイキコウガイド,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-16 15:00,8,H1193-34420D,0,ドアキャッチA,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-16 16:00,5,P0120-82200,0,ホースホルダーA,追加注文2000が入ったため,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-17 08:00,1,W2131-8RU20,0,ラッチAR,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
