datetime,seikeiki,product_id,present_kensahyou,product_name,tantou,,
2019-9-3 08:00,4,P1728-02E20,0,スライドイタA,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2019-9-3 08:00,5,BON-DFL-20008,0,DFL-ARボビンSP,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2019-9-3 08:00,6,CAS-MD-20009,0,MD-CP30カセットベース,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2019-9-3 08:00,7,P2133-93020,0,ラッチイタ,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2019-9-3 08:00,8,P1295-10M00,0,ホースホルダーB,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2019-9-3 08:00,9,W002,0,ターミナル,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2019-9-3 09:00,5,BON-MD-20026,0,MD-MIEボビンTU,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2019-9-3 10:00,2,P1127-13R00,0,,500ケ,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2019-9-3 11:00,4,P2166-93020,0, カゴピンB ,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2019-9-3 13:00,2,P0192-63040,0,フタチョウバンL,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2019-9-3 14:00,1,MLD-MD-20035,0,MD-SPA-FフランジST-L カイ1,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2019-9-3 15:00,9,P002X-93030,0,フィルターAU ,型替えのみ,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2019-9-4 08:00,1,MLD-MD-20035,0,MD-SPA-FフランジST-L カイ1,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2019-9-4 08:00,2,P0192-63040,0,フタチョウバンL,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2019-9-4 08:00,3,CAS-NDS-20001,0,NDS-カセットCASE-1,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2019-9-4 08:00,4,P2166-93020,0, カゴピンB ,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2019-9-4 08:00,5,BON-MD-20026,0,MD-MIEボビンTU,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2019-9-4 08:00,6,CAS-MD-20009,1,MD-CP30カセットベース,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2019-9-4 08:00,7,P2133-93020,1,ラッチイタ,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2019-9-4 08:00,8,P1295-10M00,0,ホースホルダーB,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2019-9-4 08:00,9,P002X-93030,1,フィルターAU ,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2019-9-4 08:30,8,W2131-6SB00,1,ラッチA,川畑さん,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2019-9-4 09:00,1,AWW2131A0C00,1,ラッチA,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2019-9-4 09:00,3,P1189-13R00,0,,白潟120ケ,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2019-9-4 09:30,7,AWW2103A1Z00,1,フタチョウバンザガネ,高木・川畑,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2019-9-4 10:30,4,P1127-93000,1,タンクウケステーBL,高木・川畑,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2019-9-4 13:00,6,CAS-MD-20016,1,カバーカセットL3P,4000ケ,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2019-9-4 14:00,3,P1189-02E30,1,コモノイレA,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2019-9-4 15:00,5,CAS-MD-20021,0,MD-MIEカセットR,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2019-9-5 08:00,1,AWW2131A0C00,1,ラッチA,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2019-9-5 08:00,2,P0192-63040,0,フタチョウバンL,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2019-9-5 08:00,3,P1189-02E30,1,コモノイレA,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2019-9-5 08:00,4,P1127-93000,1,タンクウケステーBL,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2019-9-5 08:00,5,CAS-MD-20021,0,MD-MIEカセットR,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2019-9-5 08:00,6,CAS-MD-20016,1,カバーカセットL3P,4000ケ,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2019-9-5 08:00,7,AWW2103A1Z00,1,フタチョウバンザガネ,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
