1,2,3,4,5,6,7,8,9,10,11
2020/1/8,29-111521,MLD-MD-20035,70,2,2020/2/24,17286,1,1,2020/1/9 16:57,2020/1/22 19:20
2020/1/8,29-111521,MLD-MD-20036,80,2,2020/2/24,8643,1,1,2020/1/9 16:59,2020/1/22 19:20
2020/1/8,29-111521,BON-MD-20023,60,2,2020/2/24,18060,1,1,2020/1/9 16:47,2020/1/22 19:19
2018/12/17,29-105428,MLD-MD-20031,120,3,2019/1/23,2000,1,1,2019/1/19 16:01,2019/1/19 17:40
2019/10/17,29-522304,BON-MD-20023,60,4,2019/12/11,21000,1,1,2019/10/18 14:42,2019/12/4 16:50
2019/1/17,29-105937,BON-MD-20023,60,2,2019/2/16,1000,1,1,2019/1/25 15:01,2019/1/25 15:05
2019/10/2,29-522238,MLD-MD-20036,80,3,2019/11/25,5000,1,1,2019/10/3 10:59,2019/11/18 14:41
2019/10/2,29-522238,MLD-MD-20035,70,3,2019/11/25,15000,1,1,2019/10/3 10:55,2019/11/18 14:40
2019/10/2,29-522238,BON-MD-20023,60,3,2019/11/25,17600,1,1,2019/10/3 10:49,2019/11/18 14:39
2019/8/26,29-521896,MLD-MD-20054,95,4,2019/8/30,2217,1,1,2019/8/29 9:28,
2019/8/26,29-521896,MLD-MD-20054,95,3,2019/8/28,2113,0,1,2019/8/29 9:28,
2019/7/31,29-521901,MLD-MD-20050,220,2,2019/8/26,1023,0,1,2019/8/22 17:04,2019/8/23 9:02
2019/7/31,29-521896,BON-MD-20026,70,4,2019/9/18,1656,1,1,2019/9/9 19:01,2019/9/9 19:07
2018/11/7,29-104681,BON-MD-20023,,2,2018/12/17,4080,1,0,2018/12/13 14:02,
2018/11/10,29-104868,MLD-MD-20035,,1,2018/12/19,4800,0,0,2018/12/18 9:49,
2018/11/10,29-104868,MLD-MD-20035,,2,2018/12/21,10476,1,0,2018/12/18 9:49,
2018/11/14,29-104846,MLD-EX-20001,,1,2018/12/19,1824,0,0,2018/12/12 18:05,
2018/11/14,29-104846,MLD-EX-20001,,2,2018/12/22,416,1,0,2018/12/12 18:05,
2018/12/6,29-104962,MLD-EX-20002,220,0,2019/1/11,1152,1,0,2018/12/10 17:41,
2018/12/6,29-104968,MLD-EX-20002,220,0,2019/1/11,960,1,0,2018/12/10 17:41,
2018/12/6,29-104972,MLD-EX-20002,250,0,2019/1/11,1280,1,0,2018/12/10 17:41,
2018/12/6,29-104980,BON-NDS-20002,80,1,2019/1/9,6500,0,0,2018/12/10 17:41,2018/12/10 17:47
2018/12/6,29-104980,BON-NDS-20002,80,2,2019/1/11,6000,0,0,2018/12/10 17:47,2019/1/22 9:48
2018/12/6,29-104980,BON-NDS-20002,80,3,2019/1/23,590,1,0,2019/1/22 11:27,
2018/12/6,29-104980,CAS-NDS-20001,90,1,2019/1/11,3000,0,0,2018/12/10 17:41,2018/12/10 17:55
2018/12/6,29-104980,CAS-NDS-20001,90,2,2019/1/23,3000,0,0,2018/12/10 17:55,2019/1/23 20:11
2018/12/6,29-104980,CAS-NDS-20001,90,3,2019/1/25,610,1,0,2019/1/22 11:29,
2018/12/6,29-104980,CAS-NDS-20002,100,1,2019/1/11,3000,0,0,2018/12/10 17:41,2018/12/10 17:55
