1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
182036,199969,2019/3/5,20,2016,BON-MD-20023,60,2019/4/5,29-106681,2019/4/5,20001,岡山第１工場,0,0,0,1,,2019/4/5 9:46,0,2020/6/7 16:41,9999,,
182037,199969,2019/3/5,8.8,1930,MLD-MD-20035,70,2019/4/5,29-106681,2019/4/5,20001,岡山第１工場,0,0,0,1,,2019/4/5 9:46,0,2020/6/7 16:41,9999,,
182038,199969,2019/3/5,11.8,965,MLD-MD-20036,80,2019/4/5,29-106681,2019/4/5,20001,岡山第１工場,0,0,0,1,,2019/4/5 9:46,0,2020/6/7 16:41,9999,,
182039,199969,2019/3/5,20,420,BON-MD-20023,60,2019/4/5,29-106747,2019/4/5,20001,岡山第１工場,0,0,0,1,,2019/4/5 9:46,0,2020/6/7 16:41,9999,,
182040,199969,2019/3/5,8.8,402,MLD-MD-20035,70,2019/4/5,29-106747,2019/4/5,20001,岡山第１工場,0,0,0,1,,2019/4/5 9:46,0,2020/6/7 16:41,9999,,
182041,199969,2019/3/5,11.8,204,MLD-MD-20036,80,2019/4/5,29-106747,2019/4/5,20001,岡山第１工場,0,0,0,1,,2019/4/5 9:46,0,2020/6/7 16:41,9999,,
182042,199969,2019/3/5,9.5,303,MLD-MD-20034,110,2019/3/15,29-106836,2019/3/29,20001,岡山第１工場,0,0,0,1,,2019/3/15 8:51,0,2020/6/7 16:41,9999,2019/3/13 19:30,
182043,199969,2019/3/5,47,807,BON-CO-20002,70,2019/4/12,29-106847,2019/4/12,20001,岡山第１工場,0,0,0,1,,2019/4/11 16:24,0,2020/6/7 16:41,9999,,
182044,0,2019/3/5,0,392,MLD-CO-20009,,2019/4/12,29-106847,2019/4/12,20001,岡山第１工場,0,0,0,0,,,0,2020/6/7 16:41,9999,,
182045,199969,2019/3/5,21,392,MLD-CO-20012,110,2019/4/12,29-106847,2019/4/12,20001,岡山第１工場,0,0,0,1,,2019/4/11 16:24,0,2020/6/7 16:41,9999,,
182046,0,2019/3/5,0,392,MLD-CO-20013,,2019/4/12,29-106847,2019/4/12,20001,岡山第１工場,0,0,0,0,,,0,2020/6/7 16:41,9999,,
182047,199969,2019/3/5,40,392,MLD-CO-20014,90,2019/4/12,29-106847,2019/4/12,20001,岡山第１工場,0,0,0,1,,2019/4/11 16:24,0,2020/6/7 16:41,9999,,
182048,199969,2019/3/5,35,392,MLD-CO-20021,80,2019/4/12,29-106847,2019/4/12,20001,岡山第１工場,0,0,0,1,,2019/4/11 16:24,0,2020/6/7 16:41,9999,,
182049,199969,2019/3/5,35,392,MLD-CO-20022,100,2019/4/12,29-106847,2019/4/12,20001,岡山第１工場,0,0,0,1,,2019/4/11 16:24,0,2020/6/7 16:41,9999,,
182598,100770,2019/3/15,7.8,37440,MLD-EX-20002,200,2019/4/22,29-106839,2019/4/22,20001,(株)明星・エンタープライズ 備前工場,0,0,0,1,,2019/4/22 9:16,0,2020/6/7 16:41,9999,,
182599,100770,2019/3/15,7.8,12480,MLD-EX-20002,200,2019/5/9,29-106840,2019/5/8,20001,(株)明星・エンタープライズ 備前工場,0,0,0,1,,2019/5/9 8:38,0,2020/6/7 16:41,9999,2019/5/7 10:51,
182600,100770,2019/3/15,7.8,24960,MLD-EX-20002,200,2019/5/13,29-106843,2019/5/13,20001,(株)明星・エンタープライズ 備前工場,0,0,0,1,,2019/5/13 8:55,0,2020/6/7 16:41,9999,,
182601,100770,2019/3/15,7.8,12480,MLD-EX-20002,200,2019/5/15,29-106846,2019/5/15,20001,(株)明星・エンタープライズ 備前工場,0,0,0,1,,2019/5/15 8:47,0,2020/6/7 16:41,9999,,
182602,199969,2019/3/15,7.8,17160,MLD-EX-20002,250,2019/5/15,29-106884,2019/4/16,20001,岡山第１工場,0,0,0,1,,2019/5/15 8:47,0,2020/6/7 16:41,9999,2019/4/5 11:18,
182603,199969,2019/3/15,7.8,11960,MLD-EX-20002,250,2019/4/19,29-106887,2019/4/19,20001,岡山第１工場,0,0,0,1,,2019/4/19 8:39,0,2020/6/7 16:41,9999,,
182604,199969,2019/3/15,7.8,18432,MLD-EX-20002,220,2019/4/24,29-106891,2019/4/11,20001,岡山第１工場,0,0,0,1,,2019/4/24 8:40,0,2020/6/7 16:41,9999,2019/4/5 10:40,
182605,199969,2019/3/15,7.8,6600,MLD-EX-20002,220,2019/4/18,29-106892,2019/4/18,20001,岡山第１工場,0,0,0,1,,2019/4/18 8:37,0,2020/6/7 16:41,9999,,
182606,199969,2019/3/15,7.8,12800,MLD-EX-20002,230,2019/5/8,29-106895,2019/5/7,20001,岡山第１工場,0,0,1,1,2019/3/20,2019/5/8 8:43,0,2020/6/7 16:41,9999,2019/4/19 11:39,
182607,199969,2019/3/15,7.8,12800,MLD-EX-20002,230,2019/5/10,29-106895,,20001,岡山第１工場,0,0,2,1,2019/3/20,2019/5/10 8:41,0,2020/6/7 16:41,9999,,
182608,199969,2019/3/15,7.8,12800,MLD-EX-20002,230,2019/5/13,29-106895,,20001,岡山第１工場,0,0,3,1,2019/3/20,2019/5/13 8:55,0,2020/6/7 16:41,9999,,
182609,199969,2019/3/15,7.8,768,MLD-EX-20002,220,2019/4/18,29-106905,2019/4/18,20001,岡山第１工場,0,0,0,1,,2019/4/18 8:37,0,2020/6/7 16:41,9999,,
182610,199969,2019/3/15,7.8,512,MLD-EX-20002,220,2019/4/18,29-106906,2019/4/18,20001,岡山第１工場,0,0,0,1,,2019/4/18 8:37,0,2020/6/7 16:41,9999,,
182611,199969,2019/3/15,7.8,1152,MLD-EX-20002,240,2019/4/18,29-106910,2019/4/18,20001,岡山第１工場,0,0,0,1,,2019/4/18 8:37,0,2020/6/7 16:41,9999,,
182612,199969,2019/3/15,7.8,512,MLD-EX-20002,220,2019/4/18,29-106913,2019/4/18,20001,岡山第１工場,0,0,0,1,,2019/4/18 8:37,0,2020/6/7 16:41,9999,,
182613,199969,2019/3/15,7.8,3584,MLD-EX-20002,220,2019/4/18,29-106916,2019/4/18,20001,岡山第１工場,0,0,0,1,,2019/4/18 8:37,0,2020/6/7 16:41,9999,,
182614,199969,2019/3/15,7.8,512,MLD-EX-20002,220,2019/5/10,29-106917,2019/4/26,20001,岡山第１工場,0,0,0,1,,2019/4/26 8:46,0,2020/6/7 16:41,9999,2019/5/7 19:12,
182615,199969,2019/3/15,7.8,1024,MLD-EX-20002,220,2019/5/10,29-106921,2019/4/26,20001,岡山第１工場,0,0,0,1,,2019/4/26 8:46,0,2020/6/7 16:41,9999,2019/5/7 19:12,
182616,199969,2019/3/15,7.8,1536,MLD-EX-20002,220,2019/5/10,29-106924,2019/4/26,20001,岡山第１工場,0,0,0,1,,2019/4/26 8:46,0,2020/6/7 16:41,9999,2019/5/7 19:12,
182617,199969,2019/3/15,7.8,512,MLD-EX-20002,220,2019/5/10,29-106927,2019/4/26,20001,岡山第１工場,0,0,0,1,,2019/4/26 8:46,0,2020/6/7 16:41,9999,2019/5/7 19:12,
182618,199969,2019/3/15,7.8,2048,MLD-EX-20002,220,2019/4/18,29-106928,2019/4/18,20001,岡山第１工場,0,0,0,1,,2019/4/18 8:37,0,2020/6/7 16:41,9999,,
182619,199969,2019/3/15,20,12600,BON-MD-20023,60,2019/4/12,29-106932,2019/4/12,20001,岡山第１工場,0,0,0,1,,2019/4/11 16:24,0,2020/6/7 16:41,9999,,
182620,199969,2019/3/15,8.8,12060,MLD-MD-20035,70,2019/4/12,29-106932,2019/4/12,20001,岡山第１工場,0,0,0,1,,2019/4/11 16:24,0,2020/6/7 16:41,9999,,
182621,199969,2019/3/15,11.8,6030,MLD-MD-20036,80,2019/4/12,29-106932,2019/4/12,20001,岡山第１工場,0,0,0,1,,2019/4/11 16:24,0,2020/6/7 16:41,9999,,
182622,199969,2019/3/15,20,12600,BON-MD-20023,60,2019/4/15,29-106935,2019/4/15,20001,岡山第１工場,0,0,0,1,,2019/4/15 8:44,0,2020/6/7 16:41,9999,,
182623,199969,2019/3/15,8.8,12060,MLD-MD-20035,70,2019/4/15,29-106935,2019/4/15,20001,岡山第１工場,0,0,0,1,,2019/4/15 8:44,0,2020/6/7 16:41,9999,,
182624,199969,2019/3/15,11.8,6030,MLD-MD-20036,80,2019/4/15,29-106935,2019/4/15,20001,岡山第１工場,0,0,0,1,,2019/4/15 8:44,0,2020/6/7 16:41,9999,,
182625,199969,2019/3/15,20,7920,BON-MD-20023,60,2019/4/17,29-106938,2019/4/17,20001,岡山第１工場,0,0,1,1,2019/4/17,2019/4/17 9:52,0,2020/6/7 16:41,9999,2019/4/17 9:51,
182626,199969,2019/3/15,20,60,BON-MD-20023,60,2019/4/18,29-106938,,20001,岡山第１工場,0,0,2,1,2019/4/17,2019/4/18 8:37,0,2020/6/7 16:41,9999,,
182627,199969,2019/3/15,8.8,7638,MLD-MD-20035,70,2019/4/17,29-106938,2019/4/17,20001,岡山第１工場,0,0,0,1,,2019/4/17 8:38,0,2020/6/7 16:41,9999,,
182628,199969,2019/3/15,11.8,3819,MLD-MD-20036,80,2019/4/17,29-106938,2019/4/17,20001,岡山第１工場,0,0,0,1,,2019/4/17 8:38,0,2020/6/7 16:41,9999,,
182629,199969,2019/3/15,20,11920,BON-MD-20023,60,2019/4/22,29-106939,2019/4/22,20001,岡山第１工場,0,0,1,1,2019/3/20,2019/4/22 9:16,0,2020/6/7 16:41,9999,2019/3/20 16:46,
182630,199969,2019/3/15,20,10000,BON-MD-20023,60,2019/4/24,29-106939,,20001,岡山第１工場,0,0,2,1,2019/3/20,2019/4/24 8:40,0,2020/6/7 16:41,9999,,
182631,199969,2019/3/15,20,10000,BON-MD-20023,60,2019/4/26,29-106939,,20001,岡山第１工場,0,0,3,1,2019/3/20,2019/4/26 8:46,0,2020/6/7 16:41,9999,,
182632,199969,2019/3/15,8.8,10552,MLD-MD-20035,70,2019/4/22,29-106939,2019/4/22,20001,岡山第１工場,0,0,1,1,2019/3/20,2019/4/22 9:16,0,2020/6/7 16:41,9999,2019/3/20 16:48,
