id,grade,color,tourokubi,price,tani,lot_low,lot_upper,sup_id,emp_id,delete_flg,updated_staff,updated_at
1,ABS500,N,2009/3/16,285,kg,1000,9999,14,,0,,2016/4/27 18:33:00
2,AP03B,N,2009/3/16,209,kg,25,9999,14,,0,,2016/4/27 18:33:00
3,DC,PK-85886,2009/3/16,4500,unit,1,9999,14,,0,,2016/4/27 18:33:00
4,DC,PY-W2915B,2009/3/16,2010,unit,1,5,14,,0,,2016/4/27 18:33:00
5,DC,SAS-108490,2009/3/16,3000,unit,1,9999,14,,0,,2016/4/27 18:33:00
6,DC,SAS-108491,2009/3/16,3000,unit,1,9999,14,,0,,2016/4/27 18:33:00
7,MB,SPAB-851HC,2009/3/16,1100,unit,1,9999,2,,0,,
8,OX766S,VH2031,2009/3/16,281,kg,25,9999,14,,0,,2016/4/27 18:33:00
9,T422-01,N90269,2009/3/16,600,kg,25,9999,7,,0,,
10,VE0860P,BK,2009/3/16,375,kg,500,9999,14,,1,,2016/4/27 18:33:00
11,ABS330,CABS-101647,2009/3/17,90,kg,300,9999,14,,0,,2016/4/27 18:33:00
12,ABS700,CABS-105504,2009/3/17,520,kg,300,9999,14,,0,,2016/4/27 18:33:00
13,ABS700,CABS-105552,2009/3/17,130,kg,300,9999,14,,0,,2016/4/27 18:33:00
14,DC,7-15-6591,2009/3/17,3500,unit,1,9999,2,,0,,
15,DC,7-17-10509,2009/3/17,1450,unit,1,9999,2,,0,,
16,DC,SAS-101647,2009/3/17,2000,unit,1,9999,14,,0,,2016/4/27 18:33:00
17,DC,SAS-105504,2009/3/17,3000,unit,1,9999,14,,0,,2016/4/27 18:33:00
18,DC,SAS-105552,2009/3/17,2500,unit,1,9999,14,,0,,2016/4/27 18:33:00
19,1010N2,N,2009/4/4,550,kg,25,9999,14,,0,,2016/4/27 18:33:00
20,240Z,X13362,2009/4/4,700,kg,300,9999,14,,0,,2016/4/27 18:33:00
21,ABSV0-GY,K9-5912,2009/4/4,326,kg,300,9999,14,,0,,2016/4/27 18:33:00
22,DC,1-28-24065,2009/4/4,800,unit,1,9999,2,,0,,
23,DC,4-14-9324,2009/4/4,1500,unit,1,9999,2,,0,,
24,DC,4-21-19264,2009/4/4,1500,unit,1,9999,2,,0,,
25,DC,7-28-21760,2009/4/4,800,unit,1,9999,2,,0,,
26,DC,7-28-21762,2009/4/4,800,unit,1,9999,2,,0,,
27,DC,AY-G2422H,2009/4/4,2000,unit,1,9999,14,,0,,2016/4/27 18:33:00
28,DC,DY-2998F,2009/4/4,1860,unit,1,9999,14,,0,,2016/4/27 18:33:00
29,DC,DY-G2009G,2009/4/4,2000,unit,1,9999,14,,0,,2016/4/27 18:33:00
30,DC,DY-T2970C,2009/4/4,1100,unit,1,9999,14,,0,,2016/4/27 18:33:00
31,DC,PK-22128,2009/4/4,1000,unit,1,9999,14,,0,,2016/4/27 18:33:00
32,DC,PK-22944N,2009/4/4,1300,unit,1,9999,14,,0,,2016/4/27 18:33:00
33,DC,PK-35217,2009/4/4,2000,unit,1,9999,14,,0,,2016/4/27 18:33:00
34,DC,PK-43343,2009/4/4,1150,unit,1,9999,14,,0,,2016/4/27 18:33:00
35,DC,PP-21076,2009/4/4,1370,unit,1,9999,14,,0,,2016/4/27 18:33:00
